SeqNum,MAANTH,MGEMLE,MGEMOM,APERSA,AWAPAR,AMOTSC,Resp,rand,RespHoldout,pwapar2,PAANHA2,PPERSA2,MGODRK2,MGODPR2,MRELGE2,MFALLE2,MFWEKI2,MOPLHO2,MSKA2,MSKB12,MSKB22,MSKC2,MHHUUR2,MAUT12,MAUT22,MAUT02,MINKGE2,mostyp_1,mostyp_2,mostyp_3,mostyp_4,mostyp_5,mostyp_7,mostyp_8,mostyp_9,mostyp_10,mostyp_11,mostyp_12,mostyp_13,mostyp_14,mostyp_15,mostyp_16,mostyp_17,mostyp_18,mostyp_19,mostyp_20,mostyp_21,mostyp_22,mostyp_23,mostyp_24,mostyp_25,mostyp_26,mostyp_27,mostyp_28,mostyp_29,mostyp_30,mostyp_31,mostyp_32,mostyp_33,mostyp_34,mostyp_35,mostyp_36,mostyp_37,mostyp_38,mostyp_39,mostyp_40,mostyp_41,MOSHOO_1,MOSHOO_2,MOSHOO_3,MOSHOO_4,MOSHOO_5,MOSHOO_6,MOSHOO_7,MOSHOO_8,MOSHOO_9,MOSHOO_10
1,2,1,0,0,0,0,0,0.0527895447,,0,0,0,17,5.5,30,94,5.5,69,0,0,5.5,5.5,17,82,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,2,0,1,0,0,0,0,0.2797073756,,0,0,0,30,5.5,43,69,0,56,17,0,0,0,43,43,30,5.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,2,5,2,0,0,0,0,0.1153383516,,0,0,0,0,5.5,43,56,0,0,0,56,17,0,0,0,43,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1,0,3,0,0,0,0,0.4631357274,,0,0,0,17,5.5,56,100,17,43,0,0,30,17,17,43,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,2,0,0,0,0,0,0,0.0133497478,,0,0,0,43,17,56,100,0,56,0,0,0,0,56,56,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,4,0,2,0,0,0,0,0.4629972076,,0,0,0,0,5.5,69,82,5.5,94,0,5.5,30,5.5,5.5,94,17,30,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,3,4,2,0,0,0,0,0.3826673452,,0,0,0,69,5.5,43,56,0,0,17,0,0,0,0,30,43,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,3,1,1,0,0,0,0,0.1428411864,,0,0,0,43,5.5,43,43,43,5.5,5.5,0,17,0,5.5,5.5,56,17,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,3,1,1,0,0,0,0,0.0461592525,,0,0,0,17,5.5,43,82,5.5,56,5.5,5.5,30,5.5,43,56,17,5.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,3,2,2,0,0,0,0,0.0871996824,,0,0,0,5.5,5.5,43,94,30,43,5.5,0,5.5,0,17,43,5.5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,3,0,4,0,0,0,0,0.1232462936,,0,0,0,17,5.5,17,69,17,56,0,0,0,17,17,69,30,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,3,2,2,0,0,0,0,0.3772664798,,0,0,0,43,5.5,30,43,17,17,17,0,0,0,43,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,3,2,1,0,0,0,0,0.3181509181,,0,0,0,0,17,43,82,0,82,0,17,0,0,56,82,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,2,5,1,0,0,0,0,0.198084408,,0,0,0,5.5,5.5,30,56,69,17,0,0,5.5,0,5.5,5.5,43,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,3,0,2,0,0,0,0,0.3222130953,,0,0,0,30,5.5,30,100,0,69,0,0,0,0,0,100,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,3,0,0,0,0,0,0,0.5924619094,,0,0,0,56,17,30,100,0,43,0,0,0,0,30,82,0,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,2,0,4,0,0,0,0,0.2635869837,,0,0,0,43,17,17,100,0,56,0,17,0,0,17,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,3,1,0,0,0,0,0,0.040059404,,0,0,0,30,17,43,43,43,30,0,0,5.5,0,0,17,56,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,3,1,0,0,0,0,0,0.2722651406,,0,0,0,17,5.5,17,82,5.5,56,0,0,17,17,43,69,17,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,3,3,0,0,0,0,0,0.4837775428,,0,0,0,30,5.5,43,56,5.5,17,17,0,0,5.5,17,17,43,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
